"conversation_id","created_at","favorite_count","full_text","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","id","media/0/media_url","media/0/type","media/1/media_url","media/1/type","media/2/media_url","media/2/type","media/3/media_url","media/3/type","reply_count","retweet_count","url","urls/0/display_url","urls/0/expanded_url","urls/0/url","user_mentions/0/id_str","user_mentions/0/name","user_mentions/0/screen_name","user_mentions/1/id_str","user_mentions/1/name","user_mentions/1/screen_name","user_mentions/2/id_str","user_mentions/2/name","user_mentions/2/screen_name","user_mentions/3/id_str","user_mentions/3/name","user_mentions/3/screen_name"
"1592380713307115520","2022-11-15T04:55:21.000Z","1096","Today in Bali, President Kagame attends the opening of #G20Indonesia. The Summit discusses the global health architecture, digital transformations, and sustainable energy transitions. https://t.co/XYCFjEgNa6","G20Indonesia",,,,,,,,"1592380713307115520","https://pbs.twimg.com/media/FhlFy7SXoAAgQLp.jpg","photo","https://pbs.twimg.com/media/FhlFy7TXgAMva5H.jpg","photo","https://pbs.twimg.com/media/FhlFy7WXwAUCReh.jpg","photo","https://pbs.twimg.com/media/FhlFy7NXwAAaREG.jpg","photo","246","337","https://twitter.com/UrugwiroVillage/status/1592380713307115520",,,,,,,,,,,,,,,
"1592382299039215616","2022-11-15T05:01:39.000Z","0","Presiden Jokowi mendorong penguatan kemitraan dunia usaha dn pemerintah

#KTTG20
#PresidensiG20
#G20Indonesia
#RecoverTogetherRecoverStronger
#G20Indonesia2022
#GroupOfTwentyIndonesia
#PulihBersama https://t.co/8QnxUiS1xE","KTTG20","PresidensiG20","G20Indonesia","RecoverTogetherRecoverStronger","G20Indonesia2022","GroupOfTwentyIndonesia","PulihBersama",,"1592382299039215616","https://pbs.twimg.com/media/FhlHQxtVIAA7iYB.jpg","photo",,,,,,,"0","0","https://twitter.com/MHRAI_Aulia/status/1592382299039215616",,,,,,,,,,,,,,,
"1592408887181049856","2022-11-15T06:47:18.000Z","2","President HH Sheikh Mohamed bin Zayed Al Nahyan, arrived at the #G20 Summit in #Bali, #Indonesia, and was received by the President of Indonesia, HE Joko Widodo
#UAE #G20Indonesia #G20BaliSummit #Bali
#قمة_العشرين 
@MohamedBinZayed 
@jokowi 
@UAEEmbassyJKT 
@g20org https://t.co/o965FtsJbw","G20","Bali","Indonesia","UAE","G20Indonesia","G20BaliSummit","Bali","قمة_العشرين","1592408887181049856","https://pbs.twimg.com/ext_tw_video_thumb/1592408787868073984/pu/img/bxwO2Ei32ent81IS.jpg","photo",,,,,,,"0","7","https://twitter.com/UAE_Forsan/status/1592408887181049856",,,,"471010707","محمد بن زايد","MohamedBinZayed","366987179","Joko Widodo","jokowi","800624052578590720","UAE Embassy in Jakarta","UAEEmbassyJKT","925441731331543040","G20 Indonesia","g20org"
"1592431090270375936","2022-11-15T08:15:32.000Z","26603","Together we are taking action.
 
Productive first morning at the #G20Indonesia  👇 https://t.co/xeE98oBkY9","G20Indonesia",,,,,,,,"1592431090270375936","https://pbs.twimg.com/media/FhlzACvXgAErWyC.jpg","photo","https://pbs.twimg.com/media/FhlzKENWQAMtoEO.jpg","photo","https://pbs.twimg.com/media/FhlzMs3WAAAcwGH.jpg","photo","https://pbs.twimg.com/media/FhlzSInWAAAuLCS.jpg","photo","855","1939","https://twitter.com/RishiSunak/status/1592431090270375936",,,,,,,,,,,,,,,
"1592433439290298368","2022-11-15T08:24:52.000Z","2178","Prime Minister @narendramodi with UK 🇬🇧 Prime Minister @RishiSunak at Bali #G20 summit.

#G20  #G20India  #G20Indonesia https://t.co/vLI037JwXx","G20","G20","G20India","G20Indonesia",,,,,"1592433439290298368","https://pbs.twimg.com/media/Fhl1u5eUUAA0zX9.jpg","photo",,,,,,,"18","184","https://twitter.com/G20_India/status/1592433439290298368",,,,"18839785","Narendra Modi","narendramodi","1168968080690749441","Rishi Sunak","RishiSunak",,,,,,
"1592438057965596672","2022-11-15T08:43:13.000Z","47","‘I’m having trouble reading this :#LostBiden in #G20Indonesia  🤣🤣🤣🤣🤣🤣 https://t.co/7OaVUY6iyX","LostBiden","G20Indonesia",,,,,,,"1592438057965596672","https://pbs.twimg.com/ext_tw_video_thumb/1592438026185179136/pu/img/wO-W7e3AwdieZaxW.jpg","photo",,,,,,,"4","11","https://twitter.com/Yugyasnl_YaIiya/status/1592438057965596672",,,,,,,,,,,,,,,
"1592449534843838469","2022-11-15T09:28:50.000Z","1297","President Kagame and Indonesian President Joko Widodo who is also the Chair of #G20 ride together as they discuss the future of bilateral cooperation including strengthening diplomatic relations between Rwanda and Indonesia.#G20Indonesia https://t.co/BG9dKAgvsQ","G20","G20Indonesia",,,,,,,"1592449534843838469","https://pbs.twimg.com/media/FhmEYJFWYAAOjBy.jpg","photo","https://pbs.twimg.com/media/FhmEYJCXwAAsdrl.jpg","photo","https://pbs.twimg.com/media/FhmEYJDWAAEP_r3.jpg","photo",,,"42","352","https://twitter.com/UrugwiroVillage/status/1592449534843838469",,,,,,,,,,,,,,,
"1592478404112416769","2022-11-15T11:23:33.000Z","448","President Kagame attends #G20Indonesia. https://t.co/Dx8jAtNUvw","G20Indonesia",,,,,,,,"1592478404112416769","https://pbs.twimg.com/ext_tw_video_thumb/1592478310579470336/pu/img/-GNADfXsAN7NbDbr.jpg","photo",,,,,,,"14","133","https://twitter.com/UrugwiroVillage/status/1592478404112416769",,,,,,,,,,,,,,,
"1592490755637280770","2022-11-15T12:12:37.000Z","64","The Welcoming Dinner of G20 Summit at Garuda Wisnu Kencana Cultural Park, Bali

#G20Indonesia https://t.co/FwgqcwGtWB","G20Indonesia",,,,,,,,"1592490755637280770","https://pbs.twimg.com/ext_tw_video_thumb/1592489794462179330/pu/img/Nxa33bWpQSmMC5m5.jpg","photo",,,,,,,"4","29","https://twitter.com/BiLLRaY2019/status/1592490755637280770",,,,,,,,,,,,,,,
"1592491890540433408","2022-11-15T12:17:08.000Z","9","Welcome to our beautiful country, Indonesia.

Recover Together
Recover Stronger

#G20 
#G20Indonesia 
#IndonesiaMaju https://t.co/mzIWlpvVUe","G20","G20Indonesia","IndonesiaMaju",,,,,,"1592491890540433408","https://pbs.twimg.com/media/FhmqWyBUYAAfKLq.jpg","photo",,,,,,,"0","3","https://twitter.com/Moriody1Moriody/status/1592491890540433408",,,,,,,,,,,,,,,
"1592496800459816960","2022-11-15T12:36:39.000Z","185","Nehru addressing thousands of Indonesians in Indonesia in 1950. #G20Indonesia https://t.co/ho3XCRsJv1","G20Indonesia",,,,,,,,"1592496800459816960","https://pbs.twimg.com/media/FhmvPdSWQAIlzZM.jpg","photo","https://pbs.twimg.com/media/FhmvR5LXkAAF76q.jpg","photo",,,,,"10","36","https://twitter.com/ashoswai/status/1592496800459816960",,,,,,,,,,,,,,,
